what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314600599840
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314600611735
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314600621660
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314600640636
error,log,,,"Program is not a recognized executable.",1314600641409
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314600641749
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314600643254
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314600647186
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314600685862
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314600688745
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314600695370
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314600704800
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314600768691
error,log,,,"Program is not a recognized executable.",1314600772291
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314600772366
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314601037758
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314601044585
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314601045356
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1314601045480
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314601049442
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314601071896
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314601077354
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1314601077391
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314601082083
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1314601109748
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1314601114616
