what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1314597497358
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201106081058,"org.eclipse.cdt.msw.build",1314597497894
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314597511937
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314597516589
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314597559975
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1314597562683
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1314597599472
opened,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1314597599879
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1314597602712
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1314597612950
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1314597624821
started,bundle,org.eclipse.cdt.codan.ui,2.0.0.201106081058,"org.eclipse.cdt.codan.ui",1314597633418
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201106081058,"org.eclipse.cdt.codan.checkers.ui",1314597634203
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314597638525
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1314597734162
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314597761195
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1314597761294
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1314597762238
executed,command,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors.lineNumberToggle",1314597770823
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314597785315
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314597789395
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1314597792385
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1314597794899
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201106081058,"org.eclipse.cdt.debug.core",1314597795292
started,bundle,org.eclipse.cdt.debug.ui,7.1.0.201106081058,"org.eclipse.cdt.debug.ui",1314597795430
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314597797424
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314597884769
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1314597885215
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1314597908162
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314597914462
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314597914783
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314597914910
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314597919266
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.debug",1314597919360
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1314597923334
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1314597934379
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1314597935713
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314597936030
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1314597937920
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314597981410
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1314597986145
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1314597996093
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314598002357
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20110506,"org.eclipse.ui.externaltools",1314598012985
started,bundle,org.eclipse.core.externaltools,1.0.100.v20110506,"org.eclipse.core.externaltools",1314598013104
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314598042213
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1314598042313
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1314598043352
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1314598044129
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314598044676
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314598051177
